label,text
ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
ham,What's up? Do you want me to come online? If you are free we can talk sometime�
ham,So u workin overtime nigpun?
ham,"Also sir, i sent you an email about how to log into the usc payment portal. I.ll send you another message that should explain how things are back home. Have a great weekend."
spam,Please Stay At Home. To encourage the notion of staying at home. All tax-paying citizens are entitled to �305.96 or more emergency refund. smsg.io/fCVbD
spam,BankOfAmerica Alert 137943. Please follow http://bit.do/cgjK-and re-activate
ham,Sorry dude. Dont know how i forgot. Even after Dan reminded me. Sorry. Hope you guys had fun.
ham,I don't quite know what to do. I still can't get hold of anyone. I cud pick you up bout 7.30pm and we can see if they're in the pub?
ham,Ok lor. Anyway i thk we cant get tickets now cos like quite late already. U wan 2 go look 4 ur frens a not? Darren is wif them now...
ham,Wat r u doing now?
ham,Buy one egg for me da..please:)
ham,Is there a reason we've not spoken this year? Anyways have a great week and all the best in your exam
ham,Stop the story. I've told him i've returned it and he's saying i should not re order it.
ham,No. I dont want to hear anything
ham,I'm e person who's doing e sms survey...
ham,Mm i had my food da from out
ham,"4 tacos + 1 rajas burrito, right?"
ham,"House-Maid is the murderer, coz the man was murdered on  26th January.. "
ham,Yes! How is a pretty lady like you single?
ham,(That said can you text him one more time?)
ham,I know she called me
ham,In sch but neva mind u eat 1st lor..
spam,lyricalladie(21/F) is inviting you to be her friend. Reply YES-910 or NO-910. See her: www.SMS.ac/u/hmmross STOP? Send STOP FRND to 62468
ham,Jay says that you're a double-faggot
ham,Ok i thk i got it. Then u wan me 2 come now or wat?
spam,UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403233
spam,"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow"
ham,Whens your radio show?
ham,"Jane babes not goin 2 wrk, feel ill after lst nite. Foned in already cover 4 me chuck.:-)"
spam,"New Offer! Save upto 40\% electricity bill with Power Saver(GOVT. LAB TESTED), Rs. 1050/-(free home delivery) 3 Yr. Guarantee Call 9891943823,9891943780"
ham,What * u wearing?
ham,o turns out i had stereo love on mi phone under the unknown album.
ham,"Haha figures, well I found the piece and priscilla's bowl"
ham,Can you do online transaction?
ham,Ü neva tell me how i noe... I'm not at home in da aft wat...
spam,YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a £150 prize. To collect is easy. Just call 09061743386
spam,You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750
ham,What you doing?how are you?
ham,I didn't get the second half of that message
spam,Phony £350 award - Todays Voda numbers ending XXXX are selected to receive a £350 award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app
ham,Can help u swoop by picking u up from wherever ur other birds r meeting if u want.
ham,Ok lor�whats up�
ham,Hello madam how are you ?
ham,Was actually sleeping and still might when u call back. So a text is gr8. You rock sis. Will send u a text wen i wake.
ham,Good. do you think you could send me some pix? I would love to see your top and bottom...
spam,Apple ID: [BUXCX7GBVwWCcOD Final Notification Your Apple 1D is due to expire today. Prevent this by confirming your Apple ID at�http://verifyapple.uk Apple Inc
ham,HEY MATE! HOWS U HONEY?DID U AVE GOOD HOLIDAY? GIMMI DE GOSS!x
ham,"I don't have anybody's number, I still haven't thought up a tactful way to ask alex"
ham,"I'm taking derek &amp; taylor to walmart, if I'm not back by the time you're done just leave the mouse on my desk and I'll text you when priscilla's ready"
ham,Ok..let me knw
ham,You are a very very very very bad girl. Or lady.
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app
ham,K then 2marrow are you coming to class.
ham,Meeting u is my work. . . Tel me when shall i do my work tomorrow�.That is what matters�
spam,Overcome programming challenges for multicore and learn the techniques to scale reliability. Attend Intel session at 3.45 PM at Microsoft Community TechDays
ham,"Haha, my legs and neck are killing me and my amigos are hoping to end the night with a burn, think I could swing by in like an hour?"
ham,Every day i use to sleep after  &lt;#&gt;  so only.
ham,"Sorry, have urgent work.."
ham,Good Morning plz call me sir..I have an urgent work..
ham,Oh shut it. Omg yesterday I had a dream that I had 2 kids both boys. I was so pissed. Not only about the kids but them being boys. I even told mark in my dream that he was changing diapers cause I'm not getting owed in the face.
ham,"Ahhhh...just woken up!had a bad dream about u tho,so i dont like u right now :) i didnt know anything about comedy night but i guess im up for it."
ham,Its hard to believe things like this. All can say lie but think twice before saying anything to me.
ham,Wow didn't think it was that common. I take it all back ur not a freak! Unless u chop it off:-)
spam,"	5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, £3 per pole. UnSub 08718727870."
ham,Yup he msg me: is tat yijue? Then i tot it's my group mate cos we meeting today mah... I'm askin if ü leaving earlier or wat mah cos mayb ü haf to walk v far...
ham,You need to get up. Now.
spam,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!
ham,Howz pain?hope u r fine..
ham,Love it! The girls at the office may wonder why you are smiling but sore...
spam,<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.
ham,it's still not working. And this time i also tried adding zeros. That was the savings. The checking is  &lt;#&gt;
ham,how's things? Just a quick question.
ham,Die... I accidentally deleted e msg i suppose 2 put in e sim archive. Haiz... I so sad...
ham,"no, i *didn't* mean to post it. I wrote it, and like so many other times i've ritten stuff to you, i let it sit there. it WAS what i was feeling at the time. I was angry. Before i left, i hit send, then stop. It wasn't there. I checked on my phone when i got to my car. It wasn't there. You said you didn't sleep, you were bored. So why wouldn't THAT be the time to clean, fold laundry, etc.? At least make the bed?"
ham,Sorry i missed your call. Can you please call back.
ham,How are you. Its been ages. How's abj
ham,As if i wasn't having enough trouble sleeping.
ham,Hello. They are going to the village pub at 8 so either come here or there accordingly. Ok?
ham,Thnx dude. u guys out 2nite?
spam,"Noida Commercial Wave Sec-18  Silver @ 11500/- PSF  Gold @ 12500/- PSF,  Logix Sec-124 @ 8200/- PSF For Best Deal Call 9711131802 /3"
ham,So are you guys asking that i get that slippers again or its gone with last year
ham,U guys never invite me anywhere :(
spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Send HMV to 86688 More info:www.100percent-real.com
ham,My computer just fried the only essential part we don't keep spares of because my idiot roommates looovvve leaving the thing running on full  &lt;#&gt; /7
ham,"Hey sexy buns ! Have I told you ? I adore you, loverboy. I hope you remember to thank your sister in law for those meatballs *grins* ... i love you, babe"
spam,"Welcome to UK-mobile-date this msg is FREE giving you free calling to 08719839835. Future mgs billed at 150p daily. To cancel send ""go stop"" to 89123"
ham,"Velly good, yes please!"
ham,"By march ending, i should be ready. But will call you for sure. The problem is that my capital never complete. How far with you. How's work and the ladies"
spam,You have won a guaranteed £200 award or even £1000 cashto claim UR award call free on 08000407166 (18+) 2 stop getstop on 88333 PHP
ham,Jokin only lar... :-) depends on which phone my father can get lor...
ham,I thought slide is enough.
ham,IM GONNAMISSU SO MUCH!!I WOULD SAY IL SEND U A POSTCARD BUTTHERES ABOUTAS MUCH CHANCE OF MEREMEMBERIN ASTHERE IS OFSI NOT BREAKIN HIS CONTRACT!! LUV Yaxx
ham,Dude we should go sup again
spam,"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000928. PoBox45W2TG150P"
ham,Shopping lor. Them raining mah hard 2 leave orchard.
ham,What's up my own oga. Left my phone at home and just saw ur messages. Hope you are good. Have a great weekend.
ham,Need a coffee run tomo?Can't believe it's that time of week already
ham,Oooh bed ridden ey? What are YOU thinking of?
ham,Ok not a problem will get them a taxi. C ing  tomorrow and tuesday. On tuesday think we r all going to the cinema.
ham,Are you this much buzy�.I don�t think so
spam,ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT GIV A SHIT. BAILIFF DUE IN DAYS. I O £250 3 WANT £800
ham,Please give it 2  or i will pick it up on Tuesday evening about 8 if that is ok.
ham,I was up all night too worrying about this appt. It's a shame we missed a girls night out with quizzes popcorn and you doing my hair.
ham,Ha ha ha good joke. Girls are situation seekers.
ham,"Sir, i am waiting for your call."
ham,Yay! You better not have told that to 5 other girls either.
ham,But i'll b going 2 sch on mon. My sis need 2 take smth.
ham,Yo theres no class tmrw right?
ham,"My painful personal thought- ""I always try to keep everybody happy all the time. But nobody recognises me when i am alone"""
ham,Not sure I have the stomach for it ...
spam,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101359 NOW! Only 10p per min. BT-national-rate"
Spam,Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 09701213186
ham,I'll let you know when it kicks in
ham,"Yup, no need. I'll jus wait 4 e rain 2 stop."
spam,Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS)
spam,Dear PAYTM customer your Paytm KYC has expired. Contact customer care No-6200992462 immediately. your account will Block within 24 hr. Thank you PAYTM TEAM.
spam,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G."
ham,Not planned yet :)going to join company on jan 5 only.don know what will happen after that.
ham,"Arms fine, how's Cardiff and uni? "
spam,oor Step Service for Passport Assistance/PAN Card/Income Tax Return/VAT Return/Service Tax Return Contact M/s ONS 9650669988 Jwala Heri Mkt Paschim Viha
